"lfdn";"external_lfdn";"tester";"dispcode";"lastpage";"quality";"duration";"v_38";"v_40";"v_41";"v_42";"v_51";"v_52";"v_53";"v_54";"v_17";"v_18";"v_19";"v_20";"v_21";"v_22";"v_23";"v_1";"v_2";"v_3";"v_4";"v_9";"v_10";"v_11";"v_12";"v_13";"v_15";"v_16";"browser";"referer";"device_type";"quota";"quota_assignment";"quota_rejected_id";"page_history";"hflip";"vflip";"output_mode";"javascript";"flash";"session_id";"language";"cleaned";"ats";"datetime";"date_of_last_access";"date_of_first_mail";"rts7365785";"rts7365786";"rts7365788";"rts7365789";"rts7365790";"rts7365792";"rts7371199";"rnd_pg_7365787"
"23";"0";"0";"31";"7365780";"-77";"186";"3";"2";"4";"5";"5";"5";"3";"3";"1";"4";"4";"2";"5";"3";"2";"22";"0";"1";"0";"2";"1";"0";"0";"0";"3";"2";"Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3.1 Mobile/15E148 Safari/604.1";"-99";"0";"0";"-66";"0";"7365790,7365785,7371199,7365786,7365792,7365780";"0";"0";"0";"-77";"-77";"a06372cdb67e140d80bee3aadc9fb7da";"1";"0";"1750445464";"2025-06-20 18:51:04";"2025-06-20 18:54:10";"0000-00-00 00:00:00";"55";"152";"0";"0";"21";"186";"79";"7365790"
"24";"0";"0";"31";"7365780";"-77";"174";"5";"4";"5";"2";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"4";"22";"0";"1";"0";"4";"1";"0";"0";"0";"3";"4";"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1";"-99";"0";"0";"-66";"0";"7365790,7365785,7371199,7365785,7365785,7365785,7365785,7371199,7365786,7365792,7365780";"0";"0";"0";"-77";"-77";"5d8a73fa5a5fb6bc6d32df835473e35c";"1";"0";"1750445516";"2025-06-20 18:51:56";"2025-06-20 18:54:50";"0000-00-00 00:00:00";"97";"148";"0";"0";"35";"174";"119";"7365790"
"26";"0";"0";"31";"7365780";"-77";"170";"5";"5";"5";"2";"5";"3";"4";"5";"3";"3";"4";"3";"3";"4";"5";"23";"1";"0";"0";"4";"1";"0";"0";"0";"3";"4";"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1";"-99";"0";"0";"-66";"0";"7365789,7365785,7371199,7365786,7365792,7365780";"1";"0";"0";"-77";"-77";"d44e3ddb9a3653707a5fdc3043e101f4";"1";"0";"1750445595";"2025-06-20 18:53:15";"2025-06-20 18:56:05";"0000-00-00 00:00:00";"47";"123";"0";"21";"0";"170";"68";"7365789"
"27";"0";"0";"31";"7365780";"-77";"222";"3";"3";"2";"2";"5";"5";"4";"4";"2";"2";"4";"3";"2";"2";"1";"22";"1";"0";"0";"3";"1";"0";"0";"0";"4";"2";"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Mobile Safari/537.36";"-99";"0";"0";"-66";"0";"7365788,7365785,7371199,7365786,7365792,7365780";"0";"1";"0";"-77";"-77";"ae734fa1d923d862663746271541b752";"1";"0";"1750445837";"2025-06-20 18:57:17";"2025-06-20 19:00:59";"0000-00-00 00:00:00";"68";"169";"22";"0";"0";"222";"103";"7365788"
"28";"0";"0";"31";"7365780";"-77";"409";"3";"2";"3";"5";"5";"5";"5";"5";"4";"5";"5";"5";"5";"4";"5";"20";"1";"0";"0";"3";"0";"1";"0";"0";"2";"3";"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/22F76 Instagram 385.0.0.28.70 (iPhone16,2; iOS 18_5; en_US; en; scale=3.00; 1290x2796; 748614773; IABMV/1) NW/3";"https://l.instagram.com/";"0";"0";"-66";"0";"7365790,7365785,7371199,7365786,7365792,7365780";"0";"0";"0";"-77";"-77";"cc1c6de5fd0a3a18c418a49daabb6f81";"1";"0";"1750446066";"2025-06-20 19:01:06";"2025-06-20 19:07:55";"0000-00-00 00:00:00";"187";"299";"0";"0";"22";"409";"228";"7365790"
"29";"0";"0";"31";"7365780";"-77";"393";"4";"3";"4";"3";"5";"4";"4";"5";"2";"3";"3";"4";"4";"3";"4";"25";"1";"0";"0";"3";"1";"0";"0";"0";"18";"4";"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/22F76 Instagram 384.0.0.27.89 (iPhone15,2; iOS 18_5; de_DE; de; scale=3.00; 1179x2556; 745153793; IABMV/1) NW/3";"https://l.instagram.com/";"0";"0";"-66";"0";"7365789,7365785,7371199,7365786,7365792,7365792,7365792,7365780";"0";"1";"0";"-77";"-77";"f1accc7c909c0cbb67ea3118775f9487";"1";"0";"1750446225";"2025-06-20 19:03:45";"2025-06-20 19:10:18";"0000-00-00 00:00:00";"76";"209";"0";"22";"0";"393";"128";"7365789"
"30";"0";"0";"31";"7365780";"-77";"155";"4";"3";"4";"5";"5";"4";"5";"5";"4";"4";"3";"3";"4";"3";"3";"21";"1";"0";"0";"3";"0";"1";"0";"0";"2";"3";"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1";"-99";"0";"0";"-66";"0";"7365790,7365785,7371199,7365786,7365792,7365780";"1";"1";"0";"-77";"-77";"03f1c54fa7033ec2165d31f272f8f08b";"1";"0";"1750446251";"2025-06-20 19:04:11";"2025-06-20 19:06:46";"0000-00-00 00:00:00";"52";"115";"0";"0";"22";"155";"77";"7365790"
"31";"0";"0";"31";"7365780";"-77";"393";"3";"4";"4";"3";"5";"4";"5";"5";"3";"5";"4";"4";"5";"5";"3";"21";"1";"0";"0";"4";"1";"0";"0";"0";"15";"4";"Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3.2 Mobile/15E148 Safari/605.1.15 (Ecosia ios@11.1.1.2343)";"-99";"0";"0";"-66";"0";"7365789,7365785,7371199,7365786,7365792,7365780";"1";"0";"0";"-77";"-77";"89aa2ad96192ec9b5e4358d280b45cf8";"1";"0";"1750446549";"2025-06-20 19:09:09";"2025-06-20 19:15:42";"0000-00-00 00:00:00";"126";"184";"0";"34";"0";"393";"147";"7365789"
"32";"0";"0";"31";"7365780";"-77";"259";"5";"3";"4";"1";"5";"5";"5";"5";"3";"4";"5";"5";"5";"3";"5";"20";"0";"1";"0";"5";"1";"0";"0";"0";"3";"4";"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Mobile Safari/537.36";"-99";"0";"0";"-66";"0";"7365790,7365785,7371199,7365786,7365792,7365780";"0";"1";"0";"-77";"-77";"93347832bf0179bf067f97caac8a9a34";"1";"0";"1750447031";"2025-06-20 19:17:11";"2025-06-20 19:21:30";"0000-00-00 00:00:00";"40";"217";"0";"0";"22";"259";"53";"7365790"
"33";"0";"0";"31";"7365780";"-77";"209";"5";"3";"4";"2";"5";"5";"5";"5";"5";"5";"4";"2";"5";"5";"4";"21";"1";"0";"0";"3";"1";"0";"0";"0";"1";"3";"Mozilla/5.0 (iPhone; CPU iPhone OS 17_5_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/21F90 Instagram 384.0.0.27.89 (iPhone12,1; iOS 17_5_1; de_DE; de; scale=2.00; 828x1792; 745153793; IABMV/1)";"https://l.instagram.com/";"0";"0";"-66";"0";"7365788,7365785,7371199,7365786,7365792,7365780";"1";"1";"0";"-77";"-77";"843adf4798c3f9be2ff729a42de62d8b";"1";"0";"1750447115";"2025-06-20 19:18:35";"2025-06-20 19:22:04";"0000-00-00 00:00:00";"74";"169";"24";"0";"0";"209";"100";"7365788"
